name,menu,location,y,x,area
몰리스팝스,막대아이스크림,서울 마포구 서교동 332-20,37.555940968811605,126.926274431896,서울
새암들,"새암들 정신, 해물닭볶음",서울 서초구 서초동 1713-1,37.4944501394429,127.012102521033,서울
팝컨테이너,오레오빙수,서울 서대문구 창천동 5-11,37.5588622384061,126.940063712505,서울
초량원조불백,불백정식,부산 동구 초량3동 667-8,35.1206202783166,129.038626160253,부산
구스테이크,포터하우스,서울 용산구 한남동 733-70,37.5377790172745,126.99496927360799,서울
금향,황제 해물탕&짬뽕,경기 성남시 분당구 금곡로11번길 1,37.3438398379415,127.110242068641,경기
미미네,떡볶이,서울 마포구 서교동 367-1,37.551549480660206,126.921212817463,서울
월철수산본점,회,제주특별자치도 제주시 동한두기길 42-1,33.515767764531496,126.515060737755,제주특별자치도
새우의 진수,꽃새우,서울 강남구 강남대로118길 61,37.5073965384375,127.027916325559,서울
센텀신가야밀면,"물밀면, 돼지국밥",부산 해운대구 우동 1483,35.1729574188218,129.131588177773,부산
김군네통닭집,순살상추쌈,서울 강남구 강남대로162길 21,37.5202218327812,127.020181536774,서울
쏘렐라,"샐러드, 파스타",경기 성남시 분당구 정자동 24,37.366155147131295,127.105395108442,경기
오시아,쩌죠샐러드,서울 서대문구 연희로26길 20,37.572791172442,126.936758330442,서울
도토리불떡콩,불고기떡볶이,서울 종로구 안국동 24-1,37.5784536697414,126.98224420409599,서울
부산자갈치회집조개구이,회,인천 중구 월미로 226,37.4757441506447,126.59933176018,인천
두사라,두사라 세트,서울 강남구 강남대로154길 13,37.517801085150296,127.020311760587,서울
돈몽가,제주 근고기,부산 남구 대연동 877-4,35.1313631668869,129.094233683698,부산
시래옥,"시래기불고기, 고등어조림",서울 서초구 서초1동 1675-13,37.494589919075,127.01757489479401,서울
탐탐오향족발,족발,서울 마포구 와우산로29길 48-6,37.555907998344296,126.927741652526,서울
줄리에뜨,타르트,서울 서초구 동광로 178,37.49397601414979,127.001043620283,서울
기와집 대구탕,대구탕,부산 해운대구 중동 990-3,35.1581224736033,129.174563329364,부산
영빈루,탕수육,경기 평택시 신장동 212-10,37.08273483996521,127.056483855723,경기
손가주방,해물샐러드우동,경기 파주시 탄현면 가시내길 126-13,37.7806849680841,126.71797322511999,경기
소문난명물아구찜,생물 아귀찜,서울 동대문구 장안동 183-23,37.568290668318,127.065613780555,서울
우주미,해물갈비찜,서울 은평구 녹번동 185,37.6019923419841,126.92824894063801,서울
소프트리,"오리지날, 게랑드셀",서울 서초구 서초대로46길 3,37.492269178384106,127.009995978966,서울
슬로피키친,슬로피조버거,서울 마포구 서교동 332-27,37.5557914862991,126.926263148604,서울
오리지널시카고피자,클래식토마토시카고피자,서울 마포구 서교동 395-78,37.5500942974697,126.91976900281799,서울
뽕신,퓨전 짬뽕,서울 서대문구 신촌로 87-20,37.556511183499396,126.936458823099,서울
조게찜터,조게찜,서울 강동구 올림픽로 816,37.5536902024317,127.12909684671601,서울
산골 한우 명품관,한우,경기 용인시 기흥구 구성로 134,37.2920101151156,127.123584212708,경기
빙봉,브런치테이스팅메뉴,서울 용산구 회나무로 51,37.5401453493256,126.992284625506,서울
ThanQ Coffee (땡큐커피),디저트,경북 안동시 남후면 암산길 238,36.50943620055229,128.680954990427,경북
우성갈비,양념돼지갈비,서울 중구 약수동 372-36,37.5531645080812,127.011173717561,서울
골목분식,"라면, 비빔라면",부산 영도구 동삼1동,35.0749163541223,129.068401909571,부산
덕붕뽈살,"항정살, 뽈살",경기 남양주시 와부읍 덕소로 92-1,37.5861418342752,127.211949403656,경기
원조족발순대국,순댓국,서울 동작구 사당동 1033-23,37.4792591653548,126.98008669245,서울
운정이네 중문점 (본점),갈치,제주특별자치도 서귀포시 중산간서로 726,33.2635489222764,126.43775274236499,제주특별자치도
제주정,갈비찜,제주특별자치도 제주시 일주동로 320,33.521011323961204,126.578964322307,제주특별자치도
홀짝집,돼지구이,서울 송파구 백제고분로7길 42-10,37.510405883304294,127.08364985853599,서울
모구리 식당,흑돼지,제주특별자치도 서귀포시 성산읍 서성일로 241,33.406301287057296,126.818208249335,제주특별자치도
만진당,만 즉석 떡볶이,서울 마포구 서교동 404-22,37.5494431087301,126.91997962049601,서울
감초식당,돼지불갈비,서울 동대문구 제기동 892-12,37.579545494569004,127.036262691012,서울
더함한우골 (더함 깍둑등심),소고기,서울 영등포구 양산로19길 7,37.5250584484603,126.89482396694599,서울
송스키친,"해물치즈떡볶이, 수제돈가스",서울 종로구 신영동 168-3,37.600631704755,126.960157583515,서울
육미당당,돼지고기,서울 강남구 선릉로86길 17,37.50356700525911,127.051066236605,서울
미도카페,미도고로케,부산 중구 중구로47번길 31,35.1021610382303,129.026234057656,부산
꼬끼요찜닭,찜닭,경북 안동시 번영1길 51,36.5656182491623,128.727925370228,경북
돈해돈찜,돼지고기+해산물,제주특별자치도 제주시 연북로 199,33.4818223257535,126.502580315203,제주특별자치도
다이닝펍윤익,"스테이크, 파스타",서울 송파구 송파대로30길 41-31,37.4973651685912,127.12039197541,서울
이비가짬뽕 인천본점,짬뽕,인천 서구 서곶로 322,37.5463926279011,126.677345564302,인천
외래향,외래향 탕수육,서울 관악구 봉천동 874-6,37.4818853239833,126.94992662478998,서울
백봉꿀갈비,백봉꿀갈비,경기 남양주시 와부읍 월문리 251-1,37.610396983438,127.262277182232,경기
본죽&비빔밥 Cafe,"비빔밥, 죽",서울 서대문구 연세로 20,37.5575444556882,126.93714809608801,서울
돈가스대왕전,대왕돈까스,서울 서대문구 대현동 90-67,37.5570135994735,126.944352628733,서울
곤드레쌈밥,곤드레쌈밥정식,서울 용산구 보광동 280-1,37.527373100932,126.99954272477301,서울
영도해녀촌,"성게, 돌문어",부산 영도구 동삼동 638-1,35.0685954805232,129.06573064051798,부산
두끼,떡볶이,서울 양천구 목동동로 293,37.528178313926894,126.875771989415,서울
봉주르 하와이,러버즈 콤보,서울 마포구 서교동 395-112,37.550637528258704,126.919796938373,서울
돈차를리,알람브레,경기 하남시 미사대로 750,37.5454364874338,127.22374047820401,경기
만복당,분식,인천 중구 우현로67번길 40-1,37.4750490239534,126.629193687344,인천
홍미당,빵,서울 강남구 선릉로157길 14-7,37.526557388236,127.038708909936,서울
붐바타 석촌점,"피자,치킨",서울 송파구 백제고분로 354,37.5042470428249,127.105610298639,서울
미우야善,일식,서울 서초구 서래로 5,37.495412924743796,126.997832769974,서울
숙달돼지 (사당점),돼지고기,서울 서초구 방배천로4안길 20,37.4790089234655,126.983379007197,서울
맛이차이나,안심탕수육,서울 마포구 상수동 317-2,37.548259138257606,126.920694149181,서울
속초아저씨 튀김,튀김,강원 속초시 중앙로147번길 16,38.2045218614135,128.59019059795298,강원
플라잉볼,양식,서울 성동구 왕십리로 136,37.5496933703184,127.04456378868099,서울
강남곱,곱창,서울 강남구 역삼로3길 12,37.4943642838521,127.031552686124,서울
한강장어구이,장어구이,경기 고양시 덕양구 행주외동 170-5,37.6000995871221,126.81741205267299,경기
포시즌스호텔서울 찰스H,"bar, 칵테일, 샴페인",서울 종로구 새문안로 97,37.570697850452106,126.975398227489,서울
대복순두부,가마솥 두부,강원 인제군 인제읍 상동리 251-5,38.0663313441905,128.173516652187,강원
거북이슈퍼,"가맥, 맥주, 쥐포",서울 종로구 익선동 166-79,37.5734480689604,126.98946532638399,서울
고요남,"갈비, 물회, 한우물회",서울 강남구 논현동 166,37.5077026428765,127.02408185520201,서울
와일드마카오,"갈비, 해물, 짜장",서울 광진구 화양동 23-5,37.5475729396468,127.067568020453,서울
마시찜,"갈비찜, 소갈비찜, 매운갈비찜",서울 종로구 동숭동 1-11,37.5836719055531,127.002808211467,서울
찌개,감자찌개,서울 송파구 잠실본동 192-6,37.5096178493946,127.081219050668,서울
서부감자국,"감자탕, 볶음밥, 감자국",서울 은평구 녹번동 181,37.6022568835758,126.92694479276301,서울
고기꾼김춘배,"고기집, 삼겹살, 오겹살",서울 마포구 홍익로3길 36,37.5528435190446,126.921521199872,서울
나고집,"고깃집, 소고기, 치즈",서울 강남구 논현동 62-19,37.520577927713795,127.033245599315,서울
날라리고로케,"고로케, 수제고로케, 치즈",서울 종로구 누상동 55-3,37.5806226178198,126.967392723932,서울
쑥이네곱창,곱창,서울 송파구 방이동 204-6,37.5100181256444,127.125618841592,서울
단호박국수,"국수, 단호박, 멸치국수",서울 종로구 필운동 106,37.5773247626352,126.968926071847,서울
송림식당,"기사식당, 돼지불백, 선지국",서울 광진구 자양3동 227-136,37.536782960500105,127.076526505557,서울
요나요나,"꼬치, 일본, 맥주",서울 마포구 연남동 504-32,37.5625779638329,126.920417857812,서울
오동도 산아나고 숯불구이,"꼼장어, 숯불구이, 아나고",서울 서초구 방배동 866-10,37.4859631593784,126.983883108811,서울
독도꽃새우,꽃새우,부산 중구 부평동1가 41-30,35.0988835606019,129.026416751624,부산
노루목산장,낙지보쌈,강원 인제군 인제읍 고사리 379-1,38.067487407129796,128.188267718873,강원
하단,"냉칼국수, 메밀, 만두국",서울 성북구 성북동 184-40,37.5899850904853,127.00498645696199,서울
진미명가,다금바리,제주특별자치도 서귀포시 안덕면 사계리 2072,33.2283773080258,126.307621891985,제주특별자치도
태백국물닭갈비,"닭갈비, 물닭갈비, 닭",서울 마포구 월드컵로 156,37.561726159264495,126.90539136742301,서울
정우네 신숯불닭갈비,"닭갈비, 숯불닭갈비, 닭",서울 마포구 도화동 38-3,37.5418807124501,126.95219812773199,서울
전라도집,닭볶음탕,경기 고양시 덕양구 용두동 432-47,37.6264924526313,126.89421211019899,경기
도넛가이즈,"도넛, 디저트, 미국식",서울 마포구 서교동 340-6,37.5543462051159,126.926421881255,서울
공시엔승,"도삭면, 꿔바로우, 차우면",인천 중구 운서동 2840,37.480044969191106,126.440339175177,인천
1920 경양식,"돈까스, 레스토랑, 함박스테이크",서울 종로구 익선동 166-71,37.5735315128499,126.98959798587299,서울
마피아디저트,"디저트, 밀푀유, 카페",서울 용산구 이태원동 451-7,37.5355100319626,126.988567782507,서울
통인스윗,"디저트, 에그타르트, 타르트",서울 종로구 통인동 73,37.5796430250685,126.969636406644,서울
쥬시,"디저트, 쥬스",서울 용산구 이태원동 340-2,37.5371204146629,126.98790801064101,서울
메종 엠오,"디저트, 카페",서울 서초구 방배동 876-41,37.4892946868205,126.994087048485,서울
저스트디저트,"디저트, 카페, 아이스크림",서울 서대문구 대현동 90-7,37.5577294999276,126.944476138122,서울
릴리코이,"디저트, 카페, 자몽",서울 용산구 이태원동 656,37.538751150620996,126.987200005825,서울
마얘,"디저트, 카페, 프랑스",서울 용산구 이태원동 211-19,37.5394221785578,126.991865369331,서울
HERMOSA,"디저트, 컵케이크, 마카롱",서울 마포구 연희로1길 7,37.5595763687088,126.92607708658701,서울
더 델리카테슨,"디저트, 쿠키, 컵케이크",서울 서초구 반포동 19-3,37.504364114856294,127.00362088806101,서울
